,0,1,2,3,4,5,6,7,8,9
1920-1929,50,0,1,44,0,5,2,28,0,25
1930-1939,113,1,2,79,0,12,0,58,1,39
1940-1949,129,1,2,177,8,23,5,72,7,47
1950-1959,131,9,9,151,5,26,5,73,11,80
1960-1969,208,53,63,195,37,115,47,123,63,98
1970-1979,152,159,169,122,153,208,157,97,141,57
1980-1989,85,240,212,96,201,211,196,50,158,45
1990-1999,44,182,158,23,143,103,152,18,113,21
2000-2009,21,172,157,13,169,85,87,16,98,12
2010-2019,7,95,128,16,99,46,70,4,78,2
2020-2029,0,4,2,0,0,1,2,0,1,0
Total,940,916,903,916,815,835,723,539,671,426
