,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,0.135,0.115,0.077,0.0,0.115,0.077,0.231,0.019,0.212,0.019
1950-1959,0.364,0.0,0.227,0.023,0.114,0.091,0.091,0.0,0.023,0.068
1960-1969,0.061,0.156,0.144,0.0,0.135,0.184,0.173,0.003,0.138,0.006
1970-1979,0.036,0.165,0.191,0.0,0.152,0.177,0.146,0.003,0.127,0.003
1980-1989,0.014,0.201,0.178,0.0,0.173,0.146,0.161,0.002,0.123,0.001
1990-1999,0.007,0.214,0.193,0.0,0.184,0.124,0.153,0.003,0.121,0.001
2000-2009,0.002,0.254,0.216,0.0,0.17,0.105,0.136,0.002,0.114,0.0
2010-2019,0.001,0.248,0.235,0.0,0.163,0.1,0.138,0.0,0.114,0.0
2020-2029,0.0,0.231,0.538,0.0,0.077,0.038,0.038,0.0,0.077,0.0
Total,0.011,0.222,0.204,0.0,0.17,0.124,0.147,0.002,0.119,0.001
