,0,1,2,3,4,5,6,7,8,9
1920-1929,0.206,0.059,0.029,0.147,0.176,0.0,0.029,0.118,0.029,0.206
1930-1939,0.04,0.08,0.0,0.04,0.0,0.04,0.0,0.24,0.04,0.52
1940-1949,,,,,,,,,,
1950-1959,0.141,0.106,0.106,0.024,0.153,0.153,0.082,0.106,0.035,0.094
1960-1969,0.111,0.052,0.078,0.088,0.115,0.05,0.174,0.095,0.079,0.158
1970-1979,0.087,0.049,0.093,0.109,0.105,0.061,0.139,0.114,0.12,0.123
1980-1989,0.103,0.05,0.1,0.118,0.09,0.067,0.104,0.122,0.142,0.105
1990-1999,0.116,0.093,0.11,0.109,0.097,0.087,0.089,0.106,0.096,0.099
2000-2009,0.113,0.154,0.114,0.101,0.104,0.122,0.069,0.082,0.06,0.082
2010-2019,0.093,0.215,0.109,0.083,0.084,0.163,0.057,0.072,0.059,0.067
2020-2029,0.078,0.163,0.069,0.127,0.16,0.101,0.062,0.121,0.056,0.062
Total,0.102,0.099,0.101,0.103,0.098,0.091,0.103,0.101,0.098,0.104
