lemmas,0,1,2,3,4,5,6,7,8,9
info,0.035,0.198,0.192,0.0,0.167,0.123,0.149,0.003,0.13,0.002
prop,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.002
uppl,0.411,0.0,0.0,0.006,0.001,0.09,0.0,0.276,0.001,0.214
