lemmas,0,1,2,3,4,5,6,7,8,9
info,1770,9909,9607,8,8342,6139,7451,145,6512,100
prop,3,1,1,9461,0,3,2,4,2,18
uppl,9522,6,7,141,16,2079,9,6404,26,4956
