lemmas,0,1,2,3,4,5,6,7,8,9
info,0.038,0.198,0.187,0.18,0.0,0.131,0.128,0.006,0.129,0.003
prop,0.0,0.0,0.0,0.0,0.913,0.0,0.0,0.0,0.0,0.086
uppl,0.412,0.0,0.013,0.0,0.003,0.055,0.043,0.279,0.0,0.195
