,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1920-1929,0.229,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.086,0.029,0.457,0.0,0.0,0.0,0.029,0.0,0.029,0.0,0.0,0.0,0.0,0.029,0.0
1930-1939,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.031,0.25,0.0,0.0,0.0,0.031,0.0,0.062,0.0,0.0,0.062,0.0,0.062,0.0
1940-1949,0.479,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.021,0.104,0.083,0.0,0.0,0.0,0.021,0.0,0.021,0.0,0.021,0.062,0.0,0.062,0.0
1950-1959,0.362,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.056,0.088,0.1,0.0,0.0,0.0,0.031,0.0,0.05,0.0,0.0,0.112,0.0,0.05,0.0
1960-1969,0.285,0.0,0.0,0.0,0.003,0.179,0.0,0.0,0.0,0.072,0.089,0.052,0.0,0.0,0.0,0.082,0.0,0.096,0.0,0.01,0.079,0.0,0.052,0.0
1970-1979,0.254,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.102,0.117,0.03,0.0,0.0,0.0,0.127,0.0,0.112,0.0,0.01,0.107,0.0,0.046,0.0
1980-1989,0.2,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.074,0.126,0.039,0.0,0.0,0.0,0.139,0.0,0.161,0.0,0.009,0.07,0.0,0.091,0.0
1990-1999,0.221,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.075,0.164,0.033,0.0,0.0,0.0,0.178,0.0,0.117,0.0,0.005,0.108,0.0,0.019,0.0
2000-2009,0.229,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.127,0.108,0.06,0.0,0.0,0.0,0.181,0.0,0.102,0.0,0.018,0.09,0.0,0.024,0.0
2010-2019,0.2,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.133,0.133,0.1,0.0,0.0,0.0,0.133,0.0,0.067,0.0,0.0,0.083,0.0,0.067,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.258,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.079,0.09,0.11,0.0,0.0,0.0,0.087,0.0,0.165,0.0,0.007,0.07,0.0,0.046,0.0
