0,1,2,3,4,5,6,7,8,9
all,anser,all,emellertid,bedriva,allmänheten,anförande,arbete,allmänheten,a
behöver,behövs,fall,fall,bedrives,anser,anledning,både,anställda,allmänheten
behövs,fru,fråga,fråga,borgerliga,behövs,ber,forskning,berörda,anslag
föräldrar,fråga,frågan,ge,driva,betydelse,endast,ge,bör,bl
ge,frågan,frågor,grund,fall,bör,fråga,handlar,fall,bör
ger,ge,ge,herr,fråga,fråga,frågan,insatser,fråga,fråga
ges,ger,lämnat,håll,herr,frågor,ge,kunskap,företag,frågan
handlar,herr,lämnats,inhämtat,håll,ge,herr,myndigheter,ge,frågor
kunskap,intressant,regeringen,lämna,kommunistiska,objektiv,intressant,möjligheter,ger,förslag
människor,naturligtvis,regeringens,lämnas,land,område,kammaren,nya,ges,ge
möjlighet,regeringen,riksdagen,lämnat,landet,saklig,kompletterande,regeringen,krav,kronor
möjligheter,riksdagen,svenska,lämnats,m,sprida,lämna,samt,lämna,medel
se,statsrådet,sverige,regeringen,politisk,svenska,lämnade,sprida,lämnas,regeringen
skolan,sätt,sätt,riksdagen,politiska,sätt,lämnat,stöd,myndigheter,riksdagen
svenska,talman,tagit,rörande,socialdemokratiska,tror,nämligen,svenska,regeringen,samt
sverige,tror,tid,utskottet,svenska,undervisning,statsrådet,sverige,riksdagen,utbildning
sätt,tycker,utskottet,vederbörande,sverige,verksamhet,tacka,tillgång,råd,utskottet
tillgång,vet,vet,vissa,sätt,väg,tackar,utbildning,samt,ytterligare
tror,väldigt,ytterligare,ytterligare,tror,åtgärder,talman,åtgärder,sätt,år
väldigt,ändå,år,äro,år,ökad,ytterligare,ökad,uppgifter,åtgärder
