,0,1,2,3,4,5,6,7,8,9
1920-1929,0.05,0.053,0.134,0.07,0.254,0.05,0.035,0.138,0.058,0.159
1930-1939,0.049,0.06,0.181,0.063,0.21,0.061,0.037,0.136,0.051,0.153
1940-1949,0.061,0.069,0.162,0.073,0.211,0.06,0.049,0.134,0.06,0.123
1950-1959,0.069,0.071,0.166,0.081,0.153,0.075,0.051,0.139,0.063,0.131
1960-1969,0.104,0.083,0.133,0.086,0.128,0.089,0.077,0.115,0.077,0.109
1970-1979,0.117,0.102,0.088,0.102,0.088,0.099,0.111,0.099,0.1,0.095
1980-1989,0.118,0.107,0.089,0.115,0.067,0.108,0.125,0.084,0.106,0.08
1990-1999,0.122,0.109,0.054,0.117,0.05,0.13,0.134,0.073,0.131,0.082
2000-2009,0.124,0.108,0.054,0.122,0.045,0.139,0.133,0.066,0.143,0.068
2010-2019,0.123,0.117,0.056,0.116,0.045,0.124,0.15,0.059,0.153,0.057
2020-2029,0.158,0.158,0.062,0.103,0.029,0.088,0.099,0.055,0.199,0.048
Total,0.099,0.092,0.105,0.098,0.112,0.098,0.097,0.1,0.098,0.101
