,0,1,2,3,4,5,6,7,8,9
1920-1929,464,487,1233,643,2335,461,321,1267,530,1462
1930-1939,608,748,2250,786,2607,760,457,1689,633,1897
1940-1949,637,727,1700,762,2216,629,510,1406,627,1289
1950-1959,800,831,1943,948,1789,880,598,1619,739,1531
1960-1969,1733,1385,2218,1430,2133,1481,1289,1912,1292,1815
1970-1979,2300,1993,1720,2003,1722,1938,2170,1941,1957,1857
1980-1989,2188,1986,1665,2138,1255,2010,2327,1569,1981,1487
1990-1999,2186,1942,958,2094,891,2328,2393,1307,2336,1463
2000-2009,1840,1607,809,1809,663,2062,1979,977,2128,1007
2010-2019,1562,1488,717,1473,578,1576,1901,754,1942,719
2020-2029,43,43,17,28,8,24,27,15,54,13
Total,14361,13237,15230,14114,16197,14149,13972,14456,14219,14540
