,0,1,2,3,4,5,6,7,8,9
1920-1929,0.054,0.058,0.117,0.062,0.249,0.052,0.042,0.153,0.056,0.157
1930-1939,0.051,0.059,0.192,0.063,0.188,0.059,0.042,0.144,0.057,0.144
1940-1949,0.059,0.068,0.199,0.078,0.178,0.053,0.048,0.131,0.061,0.126
1950-1959,0.077,0.074,0.16,0.092,0.148,0.073,0.058,0.133,0.066,0.119
1960-1969,0.114,0.09,0.109,0.086,0.114,0.082,0.089,0.133,0.08,0.103
1970-1979,0.123,0.107,0.089,0.1,0.087,0.102,0.122,0.087,0.096,0.088
1980-1989,0.133,0.105,0.086,0.108,0.068,0.12,0.12,0.082,0.109,0.07
1990-1999,0.109,0.101,0.06,0.133,0.056,0.128,0.12,0.072,0.131,0.089
2000-2009,0.117,0.109,0.051,0.121,0.047,0.132,0.145,0.068,0.144,0.067
2010-2019,0.124,0.123,0.051,0.108,0.041,0.126,0.141,0.054,0.171,0.06
2020-2029,0.176,0.118,0.02,0.059,0.059,0.137,0.098,0.039,0.255,0.039
Total,0.101,0.093,0.105,0.098,0.108,0.097,0.099,0.101,0.101,0.098
