,0,1,2,3,4,5,6,7,8,9
1920-1929,1804,16,13,841,10,216,17,981,20,778
1930-1939,1617,5,16,1527,8,190,15,931,36,735
1940-1949,1939,65,60,1820,78,239,92,878,159,649
1950-1959,1583,59,94,1579,61,331,71,868,155,784
1960-1969,1820,544,545,1484,465,1048,491,1160,575,931
1970-1979,1203,1333,1361,894,1267,1575,1211,731,1107,495
1980-1989,665,1597,1498,622,1457,1381,1344,454,1136,291
1990-1999,327,1933,1798,352,1727,1244,1554,266,1161,200
2000-2009,229,2448,2195,208,1926,1203,1470,192,1231,154
2010-2019,105,1888,1994,280,1345,789,1176,90,951,56
2020-2029,3,28,41,3,14,5,21,2,9,1
Total,11295,9916,9615,9610,8358,8221,7462,6553,6540,5074
