,0,1,2,3,4
1920-1929,0.268,0.083,0.479,0.075,0.095
1930-1939,0.337,0.095,0.407,0.07,0.092
1940-1949,0.303,0.102,0.387,0.1,0.107
1950-1959,0.329,0.114,0.311,0.115,0.131
1960-1969,0.264,0.152,0.259,0.177,0.149
1970-1979,0.176,0.196,0.183,0.253,0.192
1980-1989,0.16,0.227,0.142,0.248,0.223
1990-1999,0.108,0.287,0.1,0.247,0.258
2000-2009,0.107,0.308,0.087,0.236,0.262
2010-2019,0.096,0.329,0.08,0.251,0.245
2020-2029,0.066,0.412,0.074,0.272,0.176
Total,0.203,0.2,0.22,0.191,0.185
