lemmas,0,1,2,3,4,5,6,7,8,9
mass,0.161,0.102,0.0,0.228,0.157,0.013,0.16,0.101,0.078,0.0
medi,0.142,0.181,0.266,0.034,0.038,0.181,0.002,0.044,0.022,0.092
