,0,1,2,3,4
1920-1929,0.077,0.538,0.275,0.062,0.049
1930-1939,0.085,0.46,0.339,0.063,0.054
1940-1949,0.101,0.419,0.333,0.072,0.076
1950-1959,0.152,0.333,0.329,0.086,0.1
1960-1969,0.178,0.245,0.258,0.127,0.192
1970-1979,0.224,0.162,0.178,0.17,0.265
1980-1989,0.257,0.111,0.147,0.213,0.272
1990-1999,0.298,0.081,0.11,0.292,0.22
2000-2009,0.257,0.059,0.083,0.391,0.211
2010-2019,0.232,0.055,0.079,0.415,0.218
2020-2029,0.151,0.054,0.051,0.539,0.205
Total,0.197,0.222,0.203,0.197,0.182
